"","Home_Team","Away_Team","Indicator","Stadium","Attendance","Season","Date","Round"
"96","Melbourne Victory","Brisbane Roar","Hyundai A-League R20","AAMI Park",14576,"17/18","2018-02-09","20"
"97","Melbourne City","Sydney FC","Hyundai A-League R20","AAMI Park",8587,"17/18","2018-02-10","20"
"98","Wellington Phoenix","Perth Glory","Hyundai A-League R20","Westpac Stadium",4806,"17/18","2018-02-17","20"
"99","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R20","Spotless Stadium",10065,"17/18","2018-02-16","20"
"100","Adelaide United","Central Coast Mariners","Hyundai A-League R20","Coopers Stadium",8282,"17/18","2018-02-17","20"
"101","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R21","Central Coast Stadium",4973,"17/18","2018-02-23","21"
"102","Brisbane Roar","Newcastle Jets","Hyundai A-League R21","Suncorp Stadium",8120,"17/18","2018-02-24","21"
"103","Melbourne Victory","Adelaide United","Hyundai A-League R21","AAMI Park",13396,"17/18","2018-02-24","21"
"104","Perth Glory","Melbourne City","Hyundai A-League R21","HBF Park",8029,"17/18","2018-02-24","21"
"105","Sydney FC","Western Sydney Wanderers","Hyundai A-League R21","Allianz Stadium",25211,"17/18","2018-02-25","21"
"106","Melbourne City","Melbourne Victory","Hyundai A-League R22","AAMI Park",20083,"17/18","2018-03-02","22"
"107","Brisbane Roar","Adelaide United","Hyundai A-League R22","Suncorp Stadium",8237,"17/18","2018-03-03","22"
"108","Newcastle Jets","Sydney FC","Hyundai A-League R22","McDonald Jones Stadium",18156,"17/18","2018-03-03","22"
"109","Perth Glory","Central Coast Mariners","Hyundai A-League R22","HBF Park",7277,"17/18","2018-03-10","22"
"110","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R22","Spotless Stadium",7041,"17/18","2018-03-10","22"
"111","Adelaide United","Melbourne City","Hyundai A-League R23","Coopers Stadium",7668,"17/18","2018-03-16","23"
"112","Wellington Phoenix","Newcastle Jets","Hyundai A-League R23","QBE Stadium",4672,"17/18","2018-03-17","23"
"113","Western Sydney Wanderers","Perth Glory","Hyundai A-League R23","Spotless Stadium",6612,"17/18","2018-03-04","23"
"114","Melbourne Victory","Central Coast Mariners","Hyundai A-League R23","AAMI Park",14076,"17/18","2018-03-18","23"
"115","Sydney FC","Brisbane Roar","Hyundai A-League R23","Allianz Stadium",10890,"17/18","2018-03-17","23"
"116","Adelaide United","Newcastle Jets","Hyundai A-League R24","Coopers Stadium",7227,"17/18","2018-03-23","24"
"117","Central Coast Mariners","Sydney FC","Hyundai A-League R24","Central Coast Stadium",7082,"17/18","2018-03-24","24"
"118","Melbourne City","Western Sydney Wanderers","Hyundai A-League R24","AAMI Park",6354,"17/18","2018-03-24","24"
"119","Perth Glory","Melbourne Victory","Hyundai A-League R24","HBF Park",7796,"17/18","2018-03-25","24"
"120","Wellington Phoenix","Brisbane Roar","Hyundai A-League R24","Westpac Stadium",4594,"17/18","2018-03-25","24"
"121","Newcastle Jets","Melbourne City","Hyundai A-League R25","McDonald Jones Stadium",11423,"17/18","2018-04-01","25"
"122","Adelaide United","Wellington Phoenix","Hyundai A-League R25","Coopers Stadium",11738,"17/18","2018-03-30","25"
"123","Brisbane Roar","Central Coast Mariners","Hyundai A-League R25","Suncorp Stadium",12019,"17/18","2018-03-31","25"
"124","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R25","AAMI Park",15280,"17/18","2018-03-31","25"
"125","Perth Glory","Sydney FC","Hyundai A-League R25","HBF Park",7742,"17/18","2018-03-29","25"
"126","Newcastle Jets","Perth Glory","Hyundai A-League R26","McDonald Jones Stadium",8123,"17/18","2018-04-06","26"
"127","Melbourne City","Central Coast Mariners","Hyundai A-League R26","AAMI Park",8156,"17/18","2018-04-07","26"
"128","Western Sydney Wanderers","Brisbane Roar","Hyundai A-League R26","ANZ Stadium",9266,"17/18","2018-04-07","26"
"129","Melbourne Victory","Wellington Phoenix","Hyundai A-League R26","AAMI Park",13182,"17/18","2018-04-08","26"
"130","Sydney FC","Adelaide United","Hyundai A-League R26","Allianz Stadium",9110,"17/18","2018-04-08","26"
"131","Sydney FC","Melbourne Victory","Hyundai A-League R27","Allianz Stadium",15567,"17/18","2018-04-13","27"
"132","Central Coast Mariners","Newcastle Jets","Hyundai A-League R27","Central Coast Stadium",7604,"17/18","2018-04-14","27"
"133","Perth Glory","Brisbane Roar","Hyundai A-League R27","HBF Park",9579,"17/18","2018-04-14","27"
"134","Wellington Phoenix","Melbourne City","Hyundai A-League R27","QBE Stadium",4312,"17/18","2018-04-14","27"
"135","Western Sydney Wanderers","Adelaide United","Hyundai A-League R27","ANZ Stadium",12122,"17/18","2018-04-15","27"
"136","Brisbane Roar","Melbourne Victory","Hyundai A-League R1","Suncorp Stadium",15805,"16/17","2016-10-07","1"
"137","Wellington Phoenix","Melbourne City","Hyundai A-League R1","Westpac Stadium",10034,"16/17","2016-10-08","1"
"138","Western Sydney Wanderers","Sydney FC","Hyundai A-League R1","ANZ Stadium",61880,"16/17","2016-10-08","1"
"139","Perth Glory","Central Coast Mariners","Hyundai A-League R1","HBF Park",9501,"16/17","2016-10-08","1"
"140","Newcastle Jets","Adelaide United","Hyundai A-League R1","McDonald Jones Stadium",9145,"16/17","2016-10-09","1"
