"","V1","V2","""https://www.a-league.com.au/match/id/""","URL"
"253","854442","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854442"
"254","854443","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854443"
"255","854444","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854444"
"256","854445","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854445"
"257","854446","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854446"
"258","854447","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854447"
"259","854448","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854448"
"260","854449","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854449"
"261","854450","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854450"
"262","854451","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854451"
"263","854452","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854452"
"264","854453","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854453"
"265","854454","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854454"
"266","854455","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854455"
"267","854456","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854456"
"268","854457","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854457"
"269","854458","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854458"
"270","854459","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854459"
"271","811609","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811609"
"272","811610","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811610"
"273","811611","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811611"
"274","811612","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811612"
"275","811613","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811613"
"276","811614","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811614"
"277","811615","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811615"
"278","811616","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811616"
"279","811617","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811617"
"280","811618","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811618"
"281","811619","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811619"
"282","811620","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811620"
"283","811621","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811621"
"284","811622","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811622"
"285","811623","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811623"
"286","811624","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811624"
"287","811625","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811625"
"288","811626","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811626"
"289","811627","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811627"
"290","811628","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811628"
"291","811629","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811629"
"292","811630","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811630"
"293","811631","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811631"
"294","811632","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811632"
"295","811633","15/16","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/811633"
